2024-11-25 18:03:25.081 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 18:03:25.116 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 18:04:47.863 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.905 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.945 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.991 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.042 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.092 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.135 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.183 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.228 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.269 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.316 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.365 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.409 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.455 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.502 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.546 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:48.594 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.655 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.701 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.747 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.793 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.836 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.884 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.935 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:51.975 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.015 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.056 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.098 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.143 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.189 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.237 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.289 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.331 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.374 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.415 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.466 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.507 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.551 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.598 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.641 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.689 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.734 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.778 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.821 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.868 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.915 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:52.961 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.010 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.054 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.098 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.142 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.184 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.230 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.275 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.321 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.364 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.410 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.460 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.504 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.551 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.595 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.643 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:53.695 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
