2024-11-25 21:24:27.976 - MPKMini - INFO - Spotify volume set to 41%
2024-11-25 21:24:27.985 - MPKMini - INFO - Spotify volume set to 40%
2024-11-25 21:24:27.997 - MPKMini - INFO - Spotify volume set to 39%
2024-11-25 21:24:28.008 - MPKMini - INFO - Spotify volume set to 38%
2024-11-25 21:24:28.019 - MPKMini - INFO - Spotify volume set to 37%
2024-11-25 21:24:28.030 - MPKMini - INFO - Spotify volume set to 36%
2024-11-25 21:24:28.041 - MPKMini - INFO - Spotify volume set to 35%
2024-11-25 21:24:28.052 - MPKMini - INFO - Spotify volume set to 34%
2024-11-25 21:24:28.063 - MPKMini - INFO - Spotify volume set to 33%
2024-11-25 21:24:28.074 - MPKMini - INFO - Spotify volume set to 32%
2024-11-25 21:24:28.085 - MPKMini - INFO - Spotify volume set to 31%
2024-11-25 21:24:28.097 - MPKMini - INFO - Spotify volume set to 30%
2024-11-25 21:24:28.111 - MPKMini - INFO - Spotify volume set to 29%
2024-11-25 21:24:28.125 - MPKMini - INFO - Spotify volume set to 29%
2024-11-25 21:24:28.136 - MPKMini - INFO - Spotify volume set to 28%
2024-11-25 21:24:28.146 - MPKMini - INFO - Spotify volume set to 27%
2024-11-25 21:24:28.166 - MPKMini - INFO - Spotify volume set to 26%
2024-11-25 21:24:28.184 - MPKMini - INFO - Spotify volume set to 25%
2024-11-25 21:24:28.195 - MPKMini - INFO - Spotify volume set to 25%
2024-11-25 21:24:28.217 - MPKMini - INFO - Spotify volume set to 23%
2024-11-25 21:24:28.232 - MPKMini - INFO - Spotify volume set to 22%
2024-11-25 21:24:28.243 - MPKMini - INFO - Spotify volume set to 21%
2024-11-25 21:24:28.258 - MPKMini - INFO - Spotify volume set to 21%
2024-11-25 21:24:28.271 - MPKMini - INFO - Spotify volume set to 20%
2024-11-25 21:24:28.286 - MPKMini - INFO - Spotify volume set to 19%
2024-11-25 21:24:28.301 - MPKMini - INFO - Spotify volume set to 18%
2024-11-25 21:24:28.323 - MPKMini - INFO - Spotify volume set to 17%
2024-11-25 21:24:28.441 - MPKMini - INFO - Spotify volume set to 17%
2024-11-25 21:24:28.700 - MPKMini - INFO - Spotify volume set to 17%
2024-11-25 21:24:32.369 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.408 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.447 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.484 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.522 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.559 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
2024-11-25 21:24:32.597 - MPKMini - ERROR - Failed to set brightness: string indices must be integers, not 'str'
